n_faces,face_area,max_conf,face_boxes,id,year
2,0.1328,0.888,"0.4707,0.5368,0.303,0.2658|0.2131,0.5952,0.219,0.2387",10906,1992
4,0.0484,0.936,"0.3776,0.1003,0.1962,0.1672|0.659,0.3282,0.0982,0.0827|0.3116,0.3098,0.0785,0.0658|0.4544,0.4913,0.0518,0.0436",755566,2022
0,0.0,0.0,,431075,2019
1,0.0425,0.777,"0.4168,0.3063,0.2179,0.1948",63700,2010
2,0.0524,0.919,"0.1269,0.0873,0.1757,0.157|0.3135,0.1492,0.1679,0.1479",794,1976
1,0.0157,0.863,"0.4025,0.5813,0.1377,0.1138",40012,2006
0,0.0,0.0,,28739,2009
1,0.003,0.719,"0.5422,0.7463,0.0599,0.0506",306947,2015
5,0.0681,0.924,"0.5546,0.6235,0.1383,0.1259|0.7754,0.3435,0.1336,0.1249|0.6389,0.4189,0.124,0.1083|0.6416,0.2645,0.1068,0.1022|0.7924,0.1932,0.1028,0.0944",11442,2002
0,0.0,0.0,,523931,2018
0,0.0,0.0,,542224,2020
2,0.4043,0.86,"-0.0138,0.0459,0.4462,0.4543|0.404,0.0976,0.5643,0.3573",11249,2004
0,0.0,0.0,,444149,2018
1,0.3686,0.878,"0.4184,0.1589,0.5815,0.6338",34004,2001
1,0.0205,0.89,"0.4056,0.1225,0.1516,0.1356",927341,2022
0,0.0,0.0,,882598,2022
7,0.0954,0.926,"0.4959,0.581,0.1303,0.1198|0.7332,0.3389,0.1255,0.1181|0.4368,0.3395,0.1239,0.1136|0.6817,0.0824,0.1217,0.1128|0.1715,0.3564,0.1271,0.1057|0.4759,0.1417,0.1192,0.1117|0.2069,0.1004,0.1057,0.0985",520023,2022
1,0.482,0.864,"0.2312,0.0035,0.6791,0.7097",215,2005
6,0.0557,0.927,"0.8327,0.2639,0.1511,0.1417|0.0002,0.2715,0.1021,0.111|0.6686,0.3241,0.1027,0.088|0.1856,0.3182,0.0921,0.0754|0.2797,0.3804,0.0793,0.0676|0.4679,0.314,0.0436,0.037",95993,2003
1,0.0159,0.907,"0.4254,0.2232,0.1327,0.1195",1017335,2022
0,0.0,0.0,,913290,2022
1,0.453,0.788,"0.1274,-0.0004,0.7509,0.6032",505058,2018
0,0.0,0.0,,83899,2011
5,0.004,0.834,"0.5319,0.5854,0.034,0.0279|0.6122,0.5934,0.0311,0.0263|0.4349,0.5816,0.031,0.0255|0.6995,0.5941,0.0302,0.0249|0.3386,0.5976,0.0282,0.023",664168,2020
0,0.0,0.0,,259072,2014
0,0.0,0.0,,564082,2018
0,0.0,0.0,,298312,2015
1,0.0053,0.852,"0.375,0.1284,0.0774,0.0681",72331,2012
1,0.2093,0.875,"0.2657,0.0628,0.4999,0.4187",756999,2022
1,0.0728,0.641,"0.3715,0.2235,0.2946,0.2472",470229,2018
2,0.0059,0.667,"0.289,0.4237,0.0614,0.0505|0.6658,0.4226,0.0586,0.048",287903,2015
0,0.0,0.0,,280092,2015
1,0.0075,0.915,"0.3311,0.1719,0.0948,0.0788",19994,2009
0,0.0,0.0,,485415,2017
0,0.0,0.0,,879497,2022
0,0.0,0.0,,343674,2017
1,0.0431,0.913,"0.6569,0.0896,0.2233,0.193",13510,2008
0,0.0,0.0,,9730,1984
2,0.0056,0.866,"0.7016,0.3603,0.0611,0.0514|0.4733,0.5909,0.0532,0.047",585216,2021
0,0.0,0.0,,354251,2015
0,0.0,0.0,,403119,2017
1,0.0265,0.869,"0.4166,0.2768,0.1825,0.1454",518158,2018
1,0.0045,0.638,"0.4184,0.0998,0.0717,0.0628",18011,2000
1,0.0046,0.93,"0.7204,0.547,0.073,0.0628",573680,2021
1,0.2455,0.882,"0.2269,0.1901,0.4963,0.4946",420634,2016
0,0.0,0.0,,9682,2006
1,0.3139,0.931,"0.2058,0.1214,0.5734,0.5475",768447,2022
1,0.0046,0.901,"0.3929,0.1942,0.0718,0.0645",49730,2011
0,0.0,0.0,,8078,1997
0,0.0,0.0,,9645,2002
3,0.3231,0.915,"-0.0117,0.0719,0.5472,0.5534|0.2536,0.769,0.1188,0.1063|0.1275,0.711,0.0945,0.0809",777620,2021
4,0.0685,0.902,"0.4242,0.3933,0.1544,0.1302|0.807,0.4404,0.1508,0.1323|0.6357,0.3315,0.1523,0.1192|0.2145,0.461,0.1105,0.0933",517764,2019
0,0.0,0.0,,11481,1965
1,0.0011,0.721,"0.5489,0.138,0.0346,0.0317",254474,2014
0,0.0,0.0,,300665,2017
3,0.0202,0.917,"0.5504,0.1571,0.0961,0.0862|0.2528,0.3078,0.0837,0.0719|0.6821,0.3682,0.0866,0.0679",760741,2022
0,0.0,0.0,,738542,2020
1,0.0301,0.824,"0.3796,0.1293,0.187,0.1607",199534,2013
0,0.0,0.0,,40041,1981
0,0.0,0.0,,805,1968
0,0.0,0.0,,7978,2010
0,0.0,0.0,,762504,2022
0,0.0,0.0,,250574,2014
0,0.0,0.0,,316154,2017
0,0.0,0.0,,270771,2014
0,0.0,0.0,,112454,2014
2,0.1617,0.898,"0.2205,0.346,0.3419,0.3111|0.5101,0.3417,0.2243,0.2469",11460,2005
0,0.0,0.0,,516632,2020
8,0.0477,0.898,"0.1743,0.0582,0.0989,0.0787|0.7437,0.0645,0.0914,0.0774|0.0813,0.1016,0.0855,0.0767|-0.0028,0.0596,0.077,0.0799|0.6568,0.0325,0.0811,0.0672|0.6717,0.116,0.0764,0.0678|0.8542,0.1114,0.0764,0.0646|0.9366,0.0709,0.0651,0.0707",11815,1958
0,0.0,0.0,,836225,2022
0,0.0,0.0,,753453,2021
0,0.0,0.0,,332689,2015
0,0.0,0.0,,760161,2022
0,0.0,0.0,,6171,2003
0,0.0,0.0,,9431,1996
1,0.0065,0.856,"0.3638,0.2698,0.0902,0.072",40466,2000
1,0.6449,0.903,"0.0988,0.0206,0.8383,0.7693",25853,2002
3,0.0092,0.807,"0.3678,0.2109,0.0922,0.0804|0.5094,0.5995,0.0346,0.028|0.4228,0.633,0.03,0.0259",9980,1986
1,0.6332,0.846,"0.1847,0.1334,0.7576,0.8358",133805,2013
1,0.0404,0.758,"0.3362,0.0916,0.2051,0.1971",10131,1988
4,0.2223,0.915,"-0.0034,0.1581,0.2496,0.2654|0.7673,0.2319,0.225,0.2661|0.4367,0.2954,0.2196,0.2403|0.2514,0.137,0.2083,0.2086",3600,1998
2,0.0191,0.881,"0.5917,0.0909,0.1079,0.1098|0.4332,0.1588,0.0919,0.0791",13788,2009
0,0.0,0.0,,19898,2009
5,0.0924,0.919,"0.4141,0.4649,0.1541,0.1509|0.2344,0.4823,0.1457,0.1343|0.615,0.4703,0.1386,0.1307|0.7327,0.498,0.1344,0.1198|0.1369,0.4973,0.1243,0.1237",4234,2000
0,0.0,0.0,,11531,2000
0,0.0,0.0,,10225,1986
2,0.054,0.877,"0.4257,0.3166,0.1776,0.161|0.165,0.3093,0.1807,0.1404",1946,1999
2,0.5436,0.874,"0.5196,0.0695,0.4808,0.6215|0.2354,0.1464,0.5467,0.4476",1024535,2022
1,0.0106,0.894,"0.4975,0.2918,0.1086,0.0973",282035,2017
0,0.0,0.0,,84348,2012
1,0.2484,0.899,"0.0022,0.1792,0.3925,0.6327",570670,2020
1,0.0065,0.88,"0.4703,0.3516,0.0877,0.0744",11133,1986
0,0.0,0.0,,335796,2016
5,0.0999,0.922,"0.4016,0.1604,0.2229,0.1887|0.6889,0.1653,0.153,0.1248|0.1848,0.161,0.142,0.1274|0.0523,0.2156,0.1074,0.0965|0.837,0.2178,0.1149,0.0897",608195,2020
2,0.013,0.913,"0.3803,0.6543,0.0895,0.0781|0.484,0.5872,0.0842,0.072",412546,2018
0,0.0,0.0,,11587,1990
0,0.0,0.0,,134597,2012
0,0.0,0.0,,10285,1993
0,0.0,0.0,,126172,2014
0,0.0,0.0,,9064,1988
2,0.2721,0.91,"0.1942,0.0132,0.5939,0.4379|0.4335,0.7409,0.1191,0.101",529149,2019
0,0.0,0.0,,384521,2018
0,0.0,0.0,,34480,2009
0,0.0,0.0,,1547,1987
1,0.0109,0.907,"0.5052,0.1339,0.112,0.0976",9348,1995
1,0.0079,0.866,"0.4173,0.5232,0.0936,0.0846",161326,2008
0,0.0,0.0,,18405,2009
1,1.0402,0.833,"-0.0586,0.1265,1.0982,0.9472",34081,2002
3,0.0336,0.873,"0.4122,0.0862,0.1209,0.1092|0.5738,0.1335,0.1256,0.1015|0.2247,0.1624,0.0972,0.0785",10014,1985
2,0.1107,0.841,"0.6268,0.1515,0.3249,0.3098|0.4642,0.3239,0.1058,0.0949",287424,2015
2,0.0171,0.906,"-0.0013,0.6026,0.0856,0.1012|0.0979,0.2857,0.1013,0.0829",10331,1968
0,0.0,0.0,,760195,2021
3,0.0185,0.913,"0.7042,0.2759,0.0868,0.0754|0.4616,0.2826,0.0875,0.0731|0.1762,0.2775,0.0795,0.0696",489064,2019
0,0.0,0.0,,258193,2014
1,0.0404,0.898,"0.5143,0.0878,0.2158,0.1874",25748,1992
0,0.0,0.0,,10012,2005
0,0.0,0.0,,11252,1998
0,0.0,0.0,,348,1979
0,0.0,0.0,,580,1987
1,0.0245,0.841,"0.3618,0.0441,0.1701,0.144",591274,2021
0,0.0,0.0,,420707,2017
1,0.0932,0.892,"0.2327,0.3958,0.3402,0.2739",59115,2011
1,0.1661,0.82,"0.2206,0.052,0.3592,0.4625",763149,2021
1,0.0184,0.926,"0.2857,0.5568,0.1429,0.1285",10552,1985
0,0.0,0.0,,280002,2014
1,0.0078,0.888,"0.4136,0.0576,0.0927,0.0837",340601,2018
0,0.0,0.0,,291167,2014
1,0.1098,0.748,"0.2858,0.3531,0.3877,0.2833",10127,1988
0,0.0,0.0,,509635,2020
0,0.0,0.0,,998340,2016
2,0.0414,0.934,"0.1335,0.1218,0.1584,0.1341|0.447,0.0889,0.153,0.132",10206,1992
0,0.0,0.0,,79316,2014
1,0.0143,0.9,"0.5037,0.2166,0.1249,0.1145",528091,2019
7,0.0608,0.936,"0.4243,0.5069,0.1112,0.0952|0.1848,0.5191,0.1097,0.0953|0.2829,0.5099,0.1054,0.099|0.5882,0.4988,0.1019,0.0954|0.1203,0.5354,0.0914,0.0772|0.7242,0.516,0.0882,0.0765|0.8087,0.5334,0.0823,0.0702",41446,2011
2,0.0027,0.811,"0.4958,0.4997,0.0436,0.0394|0.2453,0.5555,0.0338,0.0282",238636,2014
0,0.0,0.0,,474764,2020
0,0.0,0.0,,346364,2017
0,0.0,0.0,,124470,2014
0,0.0,0.0,,9042,2005
3,0.2456,0.911,"0.3454,0.1888,0.3583,0.3418|0.7499,0.2741,0.2466,0.2761|-0.0081,0.2873,0.2157,0.2552",528985,2019
2,0.0621,0.919,"0.5842,0.4735,0.1877,0.1658|0.3302,0.4006,0.191,0.1621",659986,2020
4,0.0092,0.904,"0.7231,0.3778,0.0867,0.0745|0.1042,0.7665,0.037,0.0308|0.4903,0.7827,0.0328,0.0277|0.2941,0.7914,0.0298,0.0244",36685,1975
6,0.1169,0.89,"0.7348,0.2704,0.2274,0.2085|-0.0024,0.2728,0.1873,0.2247|0.1618,0.4044,0.1114,0.1039|0.6811,0.4156,0.1007,0.0935|0.2599,0.4516,0.0791,0.0691|0.4903,0.4241,0.0334,0.0283",10577,2000
0,0.0,0.0,,13207,2009
1,0.003,0.859,"0.4742,0.3246,0.0582,0.0516",13515,2008
1,0.0075,0.843,"0.4514,0.5874,0.0968,0.0775",442249,2018
0,0.0,0.0,,57876,2015
0,0.0,0.0,,326,2006
0,0.0,0.0,,12142,2005
0,0.0,0.0,,22804,2009
2,0.0473,0.909,"0.4564,0.2387,0.1876,0.1966|0.1551,0.2004,0.1114,0.0937",13009,2008
0,0.0,0.0,,11284,1991
0,0.0,0.0,,17609,2009
6,0.1027,0.918,"0.4859,0.3281,0.1652,0.1555|0.7434,0.3473,0.1595,0.1484|0.1717,0.3995,0.1464,0.1214|0.8021,0.2186,0.123,0.105|0.1174,0.235,0.1179,0.1017|0.2991,0.2136,0.1084,0.0981",139038,2013
2,0.0254,0.926,"0.7681,0.317,0.1156,0.1114|0.1006,0.36,0.1203,0.1044",996727,2022
1,0.0901,0.907,"0.3538,0.3123,0.3143,0.2865",473165,2017
1,0.3768,0.881,"0.3652,0.0099,0.5695,0.6616",628,1994
1,0.4857,0.908,"0.0541,-0.0356,0.7798,0.6228",610394,2019
4,0.0106,0.899,"0.6012,0.3756,0.0574,0.0525|0.2978,0.3692,0.0578,0.0496|0.432,0.3193,0.0587,0.0485|0.7032,0.4171,0.0468,0.0398",429417,2018
1,0.1666,0.838,"0.3015,0.18,0.4516,0.3688",793002,2021
3,0.0853,0.932,"0.3804,0.1329,0.1966,0.1741|0.1323,0.1703,0.1711,0.1528|0.7181,0.1645,0.1694,0.1473",409582,2018
1,0.1602,0.848,"0.5183,0.3623,0.4548,0.3523",10585,1988
3,0.1134,0.882,"0.4221,0.3235,0.3426,0.3073|0.1206,0.8122,0.0792,0.0696|0.1347,0.5766,0.0557,0.0473",24001,2009
0,0.0,0.0,,132137,2012
1,0.5661,0.654,"0.168,0.0845,0.7641,0.7409",36599,1980
0,0.0,0.0,,16235,1982
0,0.0,0.0,,565028,2021
0,0.0,0.0,,5237,1992
1,0.0032,0.91,"0.4839,0.4292,0.0615,0.0514",49017,2014
0,0.0,0.0,,948,1978
1,0.05,0.922,"0.4043,0.0862,0.2318,0.2155",9616,2003
0,0.0,0.0,,50719,1987
2,0.2655,0.925,"0.6174,-0.003,0.3852,0.3649|-0.0029,0.0154,0.3288,0.38",787752,2022
1,0.0043,0.881,"0.4338,0.1819,0.0685,0.0634",78383,2013
0,0.0,0.0,,295011,2018
0,0.0,0.0,,9792,2006
0,0.0,0.0,,12590,2002
0,0.0,0.0,,9529,1992
0,0.0,0.0,,663712,2022
1,0.211,0.926,"0.3133,0.2039,0.4752,0.444",244566,2014
0,0.0,0.0,,864873,2021
2,0.1589,0.932,"0.5856,0.6317,0.3847,0.3669|0.3349,0.4005,0.1506,0.118",8869,2002
1,0.0215,0.846,"0.5737,0.1119,0.15,0.1435",22894,2010
3,0.0341,0.909,"0.4462,0.4288,0.1462,0.1272|0.3683,0.3657,0.1096,0.1073|0.7224,0.4528,0.0676,0.0548",477462,2022
0,0.0,0.0,,10576,1983
0,0.0,0.0,,10160,1989
5,0.0288,0.913,"0.4229,0.3471,0.1137,0.096|0.815,0.3539,0.0815,0.0679|0.1853,0.3573,0.0761,0.0701|0.7467,0.3254,0.0643,0.055|0.7555,0.6162,0.0659,0.0525",406052,2016
2,0.1948,0.916,"0.2235,0.3464,0.4255,0.4091|0.6887,0.0911,0.1554,0.1337",8913,1989
1,0.1006,0.799,"0.5926,0.1952,0.3054,0.3295",12122,1995
1,0.1688,0.87,"0.2858,0.113,0.4356,0.3876",397243,2016
0,0.0,0.0,,282813,2014
0,0.0,0.0,,774021,2021
2,0.0348,0.947,"0.0036,0.0563,0.1399,0.1381|0.8463,0.0766,0.1352,0.1147",401561,2018
1,0.3255,0.808,"0.2753,0.1971,0.6541,0.4976",41402,2010
4,0.097,0.892,"0.385,0.4913,0.2008,0.171|0.7161,0.4234,0.2051,0.1303|0.5687,0.539,0.1497,0.1513|0.6845,0.6209,0.1246,0.1068",11377,1999
0,0.0,0.0,,10066,2005
1,0.0096,0.901,"0.3761,0.1891,0.1024,0.0937",1577,2004
2,0.0444,0.884,"0.4123,0.0697,0.1799,0.1776|0.8841,0.5207,0.1087,0.1143",591273,2021
0,0.0,0.0,,44037,2010
0,0.0,0.0,,649524,2019
5,0.0492,0.882,"0.396,0.5895,0.1478,0.121|0.1837,0.6929,0.1147,0.0985|0.3729,0.0884,0.1208,0.0867|0.801,0.6178,0.0886,0.0733|0.3367,0.7051,0.0601,0.0513",411805,2016
0,0.0,0.0,,652004,2020
1,0.0481,0.875,"0.3861,0.1259,0.2259,0.2128",9003,1987
0,0.0,0.0,,480105,2019
4,0.0416,0.918,"0.4416,0.4648,0.116,0.0948|0.441,0.2962,0.1105,0.0965|0.204,0.4672,0.1097,0.0959|0.6879,0.4702,0.1061,0.0887",6069,1987
2,0.0481,0.867,"0.4626,0.3344,0.1748,0.1518|0.4648,0.1004,0.1505,0.1435",340103,2016
0,0.0,0.0,,417384,2019
1,0.0128,0.893,"0.4476,0.2911,0.1211,0.1055",368182,2016
0,0.0,0.0,,1024530,2022
1,0.0179,0.883,"0.2297,0.2024,0.1408,0.1269",346672,2016
1,0.0014,0.628,"0.6988,0.2748,0.0407,0.0348",37707,2009
1,0.1459,0.912,"0.0511,0.1877,0.4134,0.3529",125509,2012
5,0.0991,0.916,"0.3398,0.1914,0.196,0.1848|0.1911,0.2223,0.1442,0.1231|0.1026,0.2624,0.134,0.1234|0.6013,0.1944,0.1347,0.1165|0.7491,0.2281,0.1241,0.1036",12095,1999
1,0.003,0.88,"0.4746,0.2709,0.0596,0.0505",77949,2011
0,0.0,0.0,,19185,1990
1,0.2842,0.924,"0.2387,0.1255,0.5974,0.4758",6933,2008
0,0.0,0.0,,694,1980
0,0.0,0.0,,9966,2007
0,0.0,0.0,,672582,2021
0,0.0,0.0,,312831,2015
0,0.0,0.0,,6488,1990
1,0.021,0.918,"0.4104,0.4622,0.1581,0.1326",13121,2007
0,0.0,0.0,,447332,2018
1,0.0682,0.877,"0.3604,0.2113,0.2798,0.2438",611489,2020
0,0.0,0.0,,549294,2020
0,0.0,0.0,,38358,2010
0,0.0,0.0,,934207,2022
0,0.0,0.0,,256274,2014
0,0.0,0.0,,11547,2003
1,0.0981,0.932,"0.2992,0.1585,0.344,0.285",460019,2018
1,0.0036,0.852,"0.4738,0.2026,0.0638,0.0565",13885,2007
